,sentence_0,sentence_1,score,dataset_name,tokens_0,tokens_1,lemmas_0,lemmas_1,sentence_lemmas_0,sentence_lemmas_1
0,But other sources close to the sale said Vivendi was keeping the door open to further bids and hoped to see bidders interested in individual assets team up.,But other sources close to the sale said Vivendi was keeping the door open for further bids in the next day or two.,4.0,MSRpar,"['But', 'other', 'sources', 'close', 'to', 'the', 'sale', 'said', 'Vivendi', 'was', 'keeping', 'the', 'door', 'open', 'to', 'further', 'bids', 'and', 'hoped', 'to', 'see', 'bidders', 'interested', 'in', 'individual', 'assets', 'team', 'up']","['But', 'other', 'sources', 'close', 'to', 'the', 'sale', 'said', 'Vivendi', 'was', 'keeping', 'the', 'door', 'open', 'for', 'further', 'bids', 'in', 'the', 'next', 'day', 'or', 'two']","['but', 'other', 'source', 'close', 'to', 'the', 'sale', 'say', 'vivendi', 'be', 'keep', 'the', 'door', 'open', 'to', 'further', 'bid', 'and', 'hop', 'to', 'see', 'bidder', 'interested', 'in', 'individual', 'asset', 'team', 'up']","['but', 'other', 'source', 'close', 'to', 'the', 'sale', 'say', 'vivendi', 'be', 'keep', 'the', 'door', 'open', 'for', 'further', 'bid', 'in', 'the', 'next', 'day', 'or', 'two']",but other source close to the sale say vivendi be keep the door open to further bid and hop to see bidder interested in individual asset team up,but other source close to the sale say vivendi be keep the door open for further bid in the next day or two
1,Micron has declared its first quarterly profit for three years.,Micron's numbers also marked the first quarterly profit in three years for the DRAM manufacturer.,3.75,MSRpar,"['Micron', 'has', 'declared', 'its', 'first', 'quarterly', 'profit', 'for', 'three', 'years']","['Micron', ""'s"", 'numbers', 'also', 'marked', 'the', 'first', 'quarterly', 'profit', 'in', 'three', 'years', 'for', 'the', 'DRAM', 'manufacturer']","['micron', 'have', 'declare', 'its', 'first', 'quarterly', 'profit', 'for', 'three', 'year']","['micron', ""'s"", 'number', 'also', 'mark', 'the', 'first', 'quarterly', 'profit', 'in', 'three', 'year', 'for', 'the', 'dram', 'manufacturer']",micron have declare its first quarterly profit for three year,micron 's number also mark the first quarterly profit in three year for the dram manufacturer
2,The fines are part of failed Republican efforts to force or entice the Democrats to return.,"Perry said he backs the Senate's efforts, including the fines, to force the Democrats to return.",2.8,MSRpar,"['The', 'fines', 'are', 'part', 'of', 'failed', 'Republican', 'efforts', 'to', 'force', 'or', 'entice', 'the', 'Democrats', 'to', 'return']","['Perry', 'said', 'he', 'backs', 'the', 'Senate', ""'s"", 'efforts', 'including', 'the', 'fines', 'to', 'force', 'the', 'Democrats', 'to', 'return']","['the', 'fine', 'be', 'part', 'of', 'failed', 'republican', 'effort', 'to', 'force', 'or', 'entice', 'the', 'democrat', 'to', 'return']","['perry', 'say', 'he', 'back', 'the', 'senate', ""'s"", 'effort', 'include', 'the', 'fine', 'to', 'force', 'the', 'democrat', 'to', 'return']",the fine be part of failed republican effort to force or entice the democrat to return,perry say he back the senate 's effort include the fine to force the democrat to return
3,"The American Anglican Council, which represents Episcopalian conservatives, said it will seek authorization to create a separate group.","The American Anglican Council, which represents Episcopalian conservatives, said it will seek authorization to create a separate province in North America because of last week's actions.",3.4,MSRpar,"['The', 'American', 'Anglican', 'Council', 'which', 'represents', 'Episcopalian', 'conservatives', 'said', 'it', 'will', 'seek', 'authorization', 'to', 'create', 'a', 'separate', 'group']","['The', 'American', 'Anglican', 'Council', 'which', 'represents', 'Episcopalian', 'conservatives', 'said', 'it', 'will', 'seek', 'authorization', 'to', 'create', 'a', 'separate', 'province', 'in', 'North', 'America', 'because', 'of', 'last', 'week', ""'s"", 'actions']","['the', 'american', 'anglican', 'council', 'which', 'represent', 'episcopalian', 'conservative', 'say', 'it', 'will', 'seek', 'authorization', 'to', 'create', 'a', 'separate', 'group']","['the', 'american', 'anglican', 'council', 'which', 'represent', 'episcopalian', 'conservative', 'say', 'it', 'will', 'seek', 'authorization', 'to', 'create', 'a', 'separate', 'province', 'in', 'north', 'america', 'because', 'of', 'last', 'week', ""'s"", 'action']",the american anglican council which represent episcopalian conservative say it will seek authorization to create a separate group,the american anglican council which represent episcopalian conservative say it will seek authorization to create a separate province in north america because of last week 's action
4,"The tech-loaded Nasdaq composite rose 20.96 points to 1595.91, ending at its highest level for 12 months.","The technology-laced Nasdaq Composite Index <.IXIC> climbed 19.11 points, or 1.2 percent, to 1,615.02.",2.4,MSRpar,"['The', 'tech-loaded', 'Nasdaq', 'composite', 'rose', '20.96', 'points', 'to', '1595.91', 'ending', 'at', 'its', 'highest', 'level', 'for', '12', 'months']","['The', 'technology-laced', 'Nasdaq', 'Composite', 'Index', '.IXIC', 'climbed', '19.11', 'points', 'or', '1.2', 'percent', 'to', '1,615.02']","['the', 'tech-loaded', 'nasdaq', 'composite', 'rise', '20.96', 'point', 'to', '1595.91', 'end', 'at', 'its', 'high', 'level', 'for', '12', 'month']","['the', 'technology-laced', 'nasdaq', 'composite', 'index', '.ixic', 'climb', '19.11', 'point', 'or', '1.2', 'percent', 'to', '1,615.02']",the tech-loaded nasdaq composite rise 20.96 point to 1595.91 end at its high level for 12 month,"the technology-laced nasdaq composite index .ixic climb 19.11 point or 1.2 percent to 1,615.02"
5,"Amgen shares gained 93 cents, or 1.45 percent, to $65.05 in afternoon trading on Nasdaq.",Shares of Allergan were up 14 cents at $78.40 in late trading on the New York Stock Exchange.,1.333,MSRpar,"['Amgen', 'shares', 'gained', '93', 'cents', 'or', '1.45', 'percent', 'to', '65.05', 'in', 'afternoon', 'trading', 'on', 'Nasdaq']","['Shares', 'of', 'Allergan', 'were', 'up', '14', 'cents', 'at', '78.40', 'in', 'late', 'trading', 'on', 'the', 'New', 'York', 'Stock', 'Exchange']","['amgen', 'share', 'gain', '93', 'cent', 'or', '1.45', 'percent', 'to', '65.05', 'in', 'afternoon', 'trading', 'on', 'nasdaq']","['share', 'of', 'allergan', 'be', 'up', '14', 'cent', 'at', '78.40', 'in', 'late', 'trading', 'on', 'the', 'new', 'york', 'stock', 'exchange']",amgen share gain 93 cent or 1.45 percent to 65.05 in afternoon trading on nasdaq,share of allergan be up 14 cent at 78.40 in late trading on the new york stock exchange
6,U.S. prosecutors have arrested more than 130 individuals and have seized more than $17 million in a continuing crackdown on Internet fraud and abuse.,More than 130 people have been arrested and $17 million worth of property seized in an Internet fraud sweep announced Friday by three U.S. government agencies.,4.6,MSRpar,"['U.S.', 'prosecutors', 'have', 'arrested', 'more', 'than', '130', 'individuals', 'and', 'have', 'seized', 'more', 'than', '17', 'million', 'in', 'a', 'continuing', 'crackdown', 'on', 'Internet', 'fraud', 'and', 'abuse']","['More', 'than', '130', 'people', 'have', 'been', 'arrested', 'and', '17', 'million', 'worth', 'of', 'property', 'seized', 'in', 'an', 'Internet', 'fraud', 'sweep', 'announced', 'Friday', 'by', 'three', 'U.S.', 'government', 'agencies']","['u.s.', 'prosecutor', 'have', 'arrest', 'more', 'than', '130', 'individual', 'and', 'have', 'seize', 'more', 'than', '17', 'million', 'in', 'a', 'continue', 'crackdown', 'on', 'internet', 'fraud', 'and', 'abuse']","['more', 'than', '130', 'people', 'have', 'be', 'arrest', 'and', '17', 'million', 'worth', 'of', 'property', 'seize', 'in', 'an', 'internet', 'fraud', 'sweep', 'announce', 'friday', 'by', 'three', 'u.s.', 'government', 'agency']",u.s. prosecutor have arrest more than 130 individual and have seize more than 17 million in a continue crackdown on internet fraud and abuse,more than 130 people have be arrest and 17 million worth of property seize in an internet fraud sweep announce friday by three u.s. government agency
7,"Chavez said investigators feel confident they've got ""at least one of the fires resolved in that regard.""","Albuquerque Mayor Martin Chavez said investigators felt confident that with the arrests they had ""at least one of the fires resolved.""",3.8,MSRpar,"['Chavez', 'said', 'investigators', 'feel', 'confident', 'they', ""'ve"", 'got', '``', 'at', 'least', 'one', 'of', 'the', 'fires', 'resolved', 'in', 'that', 'regard', ""''""]","['Albuquerque', 'Mayor', 'Martin', 'Chavez', 'said', 'investigators', 'felt', 'confident', 'that', 'with', 'the', 'arrests', 'they', 'had', '``', 'at', 'least', 'one', 'of', 'the', 'fires', 'resolved', ""''""]","['chavez', 'say', 'investigator', 'feel', 'confident', 'they', ""'ve"", 'get', '``', 'at', 'least', 'one', 'of', 'the', 'fire', 'resolve', 'in', 'that', 'regard', ""''""]","['albuquerque', 'mayor', 'martin', 'chavez', 'say', 'investigator', 'felt', 'confident', 'that', 'with', 'the', 'arrest', 'they', 'have', '``', 'at', 'least', 'one', 'of', 'the', 'fire', 'resolve', ""''""]",chavez say investigator feel confident they 've get `` at least one of the fire resolve in that regard '',albuquerque mayor martin chavez say investigator felt confident that with the arrest they have `` at least one of the fire resolve ''
8,Authorities said the scientist properly quarantined himself at home after he developed SARS symptoms Dec. 10.,"The scientist also quarantined himself at home as soon as he developed SARS symptoms, officials said.",4.2,MSRpar,"['Authorities', 'said', 'the', 'scientist', 'properly', 'quarantined', 'himself', 'at', 'home', 'after', 'he', 'developed', 'SARS', 'symptoms', 'Dec.', '10']","['The', 'scientist', 'also', 'quarantined', 'himself', 'at', 'home', 'as', 'soon', 'as', 'he', 'developed', 'SARS', 'symptoms', 'officials', 'said']","['authority', 'say', 'the', 'scientist', 'properly', 'quarantine', 'himself', 'at', 'home', 'after', 'he', 'develop', 'sars', 'symptom', 'dec.', '10']","['the', 'scientist', 'also', 'quarantine', 'himself', 'at', 'home', 'as', 'soon', 'as', 'he', 'develop', 'sars', 'symptom', 'official', 'say']",authority say the scientist properly quarantine himself at home after he develop sars symptom dec. 10,the scientist also quarantine himself at home as soon as he develop sars symptom official say
9,The support will come as a free software upgrade called WebVPN for current customers that have support contracts.,The upgrade will be available as a free download for current customers with SmarNet support in January 2004.,2.6,MSRpar,"['The', 'support', 'will', 'come', 'as', 'a', 'free', 'software', 'upgrade', 'called', 'WebVPN', 'for', 'current', 'customers', 'that', 'have', 'support', 'contracts']","['The', 'upgrade', 'will', 'be', 'available', 'as', 'a', 'free', 'download', 'for', 'current', 'customers', 'with', 'SmarNet', 'support', 'in', 'January', '2004']","['the', 'support', 'will', 'come', 'as', 'a', 'free', 'software', 'upgrade', 'call', 'webvpn', 'for', 'current', 'customer', 'that', 'have', 'support', 'contract']","['the', 'upgrade', 'will', 'be', 'available', 'as', 'a', 'free', 'download', 'for', 'current', 'customer', 'with', 'smarnet', 'support', 'in', 'january', '2004']",the support will come as a free software upgrade call webvpn for current customer that have support contract,the upgrade will be available as a free download for current customer with smarnet support in january 2004
