Run,ALL,Rank_ALL,ALLnrm,Rank_ALLnrm,Mean,Rank_Mean,MSRpar,MSRvid,SMT-eur,On-WN,SMT-news
baer/task6-UKP-run2_plus_postprocessing_smt_twsi,0.8239,1,0.8579,2,0.6773,1,0.6830,0.8739,0.5280,0.6641,0.4937
jan_snajder/task6-takelab-syntax,0.8138,2,0.8569,3,0.6601,5,0.6985,0.8620,0.3612,0.7049,0.4683
jan_snajder/task6-takelab-simple,0.8133,3,0.8635,1,0.6753,2,0.7343,0.8803,0.4771,0.6797,0.3989
baer/task6-UKP-run1,0.8117,4,0.8559,4,0.6708,4,0.6821,0.8708,0.5118,0.6649,0.4672
rada/task6-UNT-IndividualRegression,0.7846,5,0.8440,6,0.6162,13,0.5353,0.8750,0.4203,0.6715,0.4033
mheilman/task6-ETS-PERPphrases,0.7834,6,0.8089,27,0.6399,7,0.6397,0.7200,0.4850,0.7124,0.5312
mheilman/task6-ETS-PERP,0.7808,7,0.8064,32,0.6305,11,0.6211,0.7210,0.4722,0.7080,0.5149
baer/task6-UKP-run3_plus_random,0.7790,8,0.8166,19,0.4320,71,0.6830,0.8739,0.5280,-0.0620,-0.0520
rada/task6-UNT-IndividualDecTree,0.7677,9,0.8389,9,0.5947,25,0.5693,0.8688,0.4203,0.6491,0.2256
yeh/task6-SRIUBC-SYSTEM2,0.7562,10,0.8111,24,0.5858,33,0.6050,0.7939,0.4294,0.5871,0.3366
