Run,ALL,Rank_ALL,ALLnrm,Rank_ALLnrm,Mean,Rank_Mean,MSRpar,MSRvid,SMT-eur,On-WN,SMT-news
00-baseline/task6-baseline,0.3110,87,0.6732,85,0.4356,70,0.4334,0.2996,0.4542,0.5864,0.3908
aca08ls/task6-University_Of_Sheffield-Hybrid,0.6485,34,0.8238,15,0.6100,18,0.5166,0.8187,0.4859,0.6676,0.4280
aca08ls/task6-University_Of_Sheffield-Machine_Learning,0.7241,17,0.8169,18,0.5750,38,0.5166,0.8187,0.4859,0.6390,0.2089
aca08ls/task6-University_Of_Sheffield-Vector_Space,0.6054,48,0.7946,44,0.5943,27,0.5460,0.7241,0.4858,0.6676,0.4280
acaputo/task6-UNIBA-DEPRI,0.6141,46,0.8027,38,0.5891,31,0.4542,0.7673,0.5126,0.6593,0.4636
acaputo/task6-UNIBA-LSARI,0.6221,44,0.8079,30,0.5728,40,0.3886,0.7908,0.4679,0.6826,0.4238
acaputo/task6-UNIBA-RI,0.6285,41,0.7951,43,0.5651,45,0.4128,0.7612,0.4531,0.6306,0.4887
baer/task6-UKP-run1,0.8117,4,0.8559,4,0.6708,4,0.6821,0.8708,0.5118,0.6649,0.4672
baer/task6-UKP-run2_plus_postprocessing_smt_twsi,0.8239,1,0.8579,2,0.6773,1,0.6830,0.8739,0.5280,0.6641,0.4937
baer/task6-UKP-run3_plus_random,0.7790,8,0.8166,19,0.4320,71,0.6830,0.8739,0.5280,-0.0620,-0.0520
croce/task6-UNITOR-1_REGRESSION_BEST_FEATURES,0.7474,13,0.8292,12,0.6316,10,0.5695,0.8217,0.5168,0.6591,0.4713
croce/task6-UNITOR-2_REGRESSION_ALL_FEATURES,0.7475,12,0.8297,11,0.6323,9,0.5763,0.8217,0.5102,0.6591,0.4713
croce/task6-UNITOR-3_REGRESSION_ALL_FEATURES_ALL_DOMAINS,0.6289,40,0.8150,21,0.5939,28,0.4686,0.8027,0.4574,0.6591,0.4713
csjxu/task6-PolyUCOMP-RUN1,0.6528,31,0.7642,59,0.5492,51,0.4728,0.6593,0.4835,0.6196,0.4290
danielcer/stanford_fsa,0.6354,38,0.7212,70,0.4848,66,0.3795,0.5350,0.4377,0.6052,0.4164
danielcer/stanford_pdaAll,0.4229,77,0.7160,72,0.5044,62,0.4409,0.4698,0.4558,0.6468,0.4769
danielcer/stanford_rte,0.5589,55,0.7807,55,0.4674,67,0.4374,0.8037,0.3533,0.3077,0.3235
